* Freq(Hz)	SPL(dB)
1625.000000	2.424
1650.000000	2.542
1675.000000	2.664
1700.000000	2.791
1725.000000	2.920
1750.000000	3.052
1775.000000	3.186
1800.000000	3.322
1825.000000	3.460
1850.000000	3.601
1875.000000	3.743
1900.000000	3.888
1925.000000	4.035
1950.000000	4.186
1975.000000	4.340
2000.000000	4.499
2030.000000	4.697
2060.000000	4.901
2090.000000	5.112
2120.000000	5.329
2140.000000	5.477
2180.000000	5.776
2200.000000	5.928
2240.000000	6.232
2270.000000	6.459
2300.000000	6.683
2330.000000	6.903
2360.000000	7.118
2400.000000	7.394
2430.000000	7.593
2470.000000	7.845
2500.000000	8.025
2540.000000	8.252
2580.000000	8.465
2620.000000	8.663
2650.000000	8.803
2690.000000	8.975
2720.000000	9.092
2760.000000	9.233
2800.000000	9.355
2850.000000	9.479
2900.000000	9.572
2950.000000	9.633
3000.000000	9.663
3040.000000	9.666
3070.000000	9.657
3110.000000	9.630
3150.000000	9.588
3200.000000	9.517
3250.000000	9.428
3300.000000	9.325
3350.000000	9.210
3400.000000	9.085
3450.000000	8.951
3500.000000	8.812
3550.000000	8.670
3600.000000	8.524
3650.000000	8.378
3700.000000	8.231
3750.000000	8.085
3820.000000	7.885
3870.000000	7.746
3950.000000	7.533
4000.000000	7.407
4060.000000	7.263
4120.000000	7.127
4180.000000	7.001
4250.000000	6.864
4310.000000	6.755
4370.000000	6.655
4440.000000	6.548
4500.000000	6.464
4550.000000	6.400
4620.000000	6.317
4680.000000	6.252
4750.000000	6.180
4820.000000	6.112
4870.000000	6.063
4940.000000	5.994
5000.000000	5.933
5080.000000	5.849
5150.000000	5.773
5220.000000	5.694
5300.000000	5.601
5380.000000	5.507
5450.000000	5.423
5520.000000	5.338
5600.000000	5.240
5700.000000	5.118
5800.000000	4.997
5900.000000	4.880
6000.000000	4.769
6080.000000	4.686
6150.000000	4.619
6220.000000	4.557
6300.000000	4.494
6400.000000	4.428
6500.000000	4.376
6600.000000	4.337
6700.000000	4.312
6800.000000	4.299
6900.000000	4.296
7000.000000	4.301
7100.000000	4.312
7200.000000	4.327
7300.000000	4.343
7400.000000	4.356
7500.000000	4.364
7620.000000	4.362
7750.000000	4.344
7880.000000	4.307
8000.000000	4.253
8120.000000	4.179
