* Freq(Hz)	SPL(dB)
1625.000000	2.430
1650.000000	2.548
1675.000000	2.670
1700.000000	2.795
1725.000000	2.924
1750.000000	3.055
1775.000000	3.189
1800.000000	3.324
1825.000000	3.461
1850.000000	3.601
1875.000000	3.743
1900.000000	3.886
1925.000000	4.033
1950.000000	4.183
1975.000000	4.336
2000.000000	4.494
2030.000000	4.690
2060.000000	4.893
2090.000000	5.103
2120.000000	5.318
2140.000000	5.464
2180.000000	5.761
2200.000000	5.911
2240.000000	6.211
2270.000000	6.435
2300.000000	6.656
2330.000000	6.873
2360.000000	7.084
2400.000000	7.355
2430.000000	7.549
2470.000000	7.794
2500.000000	7.968
2540.000000	8.187
2580.000000	8.389
2620.000000	8.577
2650.000000	8.707
2690.000000	8.866
2720.000000	8.974
2760.000000	9.099
2800.000000	9.205
2850.000000	9.307
2900.000000	9.376
2950.000000	9.411
3000.000000	9.414
3040.000000	9.394
3070.000000	9.367
3110.000000	9.315
3150.000000	9.248
3200.000000	9.144
3250.000000	9.020
3300.000000	8.881
3350.000000	8.729
3400.000000	8.565
3450.000000	8.392
3500.000000	8.213
3550.000000	8.028
3600.000000	7.840
3650.000000	7.649
3700.000000	7.455
3750.000000	7.262
3820.000000	6.993
3870.000000	6.803
3950.000000	6.505
4000.000000	6.324
4060.000000	6.112
4120.000000	5.906
4180.000000	5.706
4250.000000	5.482
4310.000000	5.297
4370.000000	5.118
4440.000000	4.918
4500.000000	4.754
4550.000000	4.622
4620.000000	4.446
4680.000000	4.302
4750.000000	4.141
4820.000000	3.986
4870.000000	3.878
4940.000000	3.732
5000.000000	3.611
5080.000000	3.454
5150.000000	3.324
5220.000000	3.199
5300.000000	3.066
5380.000000	2.943
5450.000000	2.843
5520.000000	2.750
5600.000000	2.652
5700.000000	2.542
5800.000000	2.445
5900.000000	2.359
6000.000000	2.286
6080.000000	2.236
6150.000000	2.199
6220.000000	2.167
6300.000000	2.137
6400.000000	2.110
6500.000000	2.091
6600.000000	2.078
6700.000000	2.071
6800.000000	2.067
6900.000000	2.064
7000.000000	2.063
7100.000000	2.062
7200.000000	2.060
7300.000000	2.057
7400.000000	2.050
7500.000000	2.039
7620.000000	2.018
7750.000000	1.984
7880.000000	1.941
8000.000000	1.892
8120.000000	1.834
8250.000000	1.761
8380.000000	1.673
8500.000000	1.574
8620.000000	1.453
8750.000000	1.295
8850.000000	1.151
9000.000000	0.900
9120.000000	0.675
9250.000000	0.410
9380.000000	0.131
9500.000000	-0.135
9620.000000	-0.407
9750.000000	-0.704
9880.000000	-1.001
10000.000000	-1.267
10150.000000	-1.587
10300.000000	-1.893
10440.000000	-2.172
10600.000000	-2.508
10750.000000	-2.865
10900.000000	-3.281
11060.000000	-3.788
11200.000000	-4.271
11380.000000	-4.912
11500.000000	-5.331
11720.000000	-6.054
11800.000000	-6.299
12060.000000	-7.024
12200.000000	-7.371
12410.000000	-7.838
12500.000000	-8.022
12650.000000	-8.312
12800.000000	-8.587
13150.000000	-9.209
13200.000000	-9.300
13400.000000	-9.671
13600.000000	-10.065
13800.000000	-10.484
14000.000000	-10.926
14300.000000	-11.616
14500.000000	-12.093
14750.000000	-12.707
15000.000000	-13.343
15250.000000	-13.997
15500.000000	-14.665
15750.000000	-15.343
16000.000000	-16.031
16250.000000	-16.728
16500.000000	-17.439
16750.000000	-18.168
17000.000000	-18.919
17250.000000	-19.697
17500.000000	-20.510
17750.000000	-21.365
18000.000000	-22.272
18250.000000	-23.240
18500.000000	-24.274
18750.000000	-25.381
19000.000000	-26.564
19250.000000	-27.834
19500.000000	-29.277
19750.000000	-30.700
20000.000000	-31.00
