* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Apr 15, 2023 9:00:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 10dB Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
203.048157	-0.823
204.519531	-0.839
206.001556	-0.859
207.494324	-0.878
208.997925	-0.899
210.512405	-0.920
212.037857	-0.941
213.574371	-0.964
215.122025	-0.984
216.680893	-1.003
218.251053	-1.020
219.832581	-1.034
221.425583	-1.046
223.030121	-1.054
224.646286	-1.060
226.274170	-1.060
227.913849	-1.058
229.565399	-1.051
231.228928	-1.040
232.904510	-1.026
234.592224	-1.009
236.292191	-0.992
238.004456	-0.972
239.729126	-0.952
241.466309	-0.931
243.216080	-0.912
244.978516	-0.896
246.753738	-0.879
248.541809	-0.867
250.342850	-0.855
252.156937	-0.848
253.984161	-0.843
255.824646	-0.840
257.678467	-0.841
259.545685	-0.843
261.426483	-0.849
263.320862	-0.854
265.229004	-0.861
267.150970	-0.869
269.086853	-0.878
271.036774	-0.887
273.000824	-0.896
274.979095	-0.904
276.971710	-0.912
278.978760	-0.921
281.000336	-0.929
283.036591	-0.935
285.087585	-0.940
287.153442	-0.947
289.234283	-0.951
291.330200	-0.956
293.441284	-0.958
295.567688	-0.960
297.709503	-0.960
299.866821	-0.959
302.039795	-0.956
304.228485	-0.951
306.433044	-0.946
308.653595	-0.938
310.890228	-0.928
313.143066	-0.916
315.412231	-0.903
317.697845	-0.890
320.000000	-0.874
322.318848	-0.859
324.654510	-0.841
327.007080	-0.823
329.376709	-0.806
331.763519	-0.788
334.167603	-0.770
336.589142	-0.751
339.028198	-0.734
341.484924	-0.716
343.959473	-0.700
346.451935	-0.685
348.962463	-0.669
351.491211	-0.657
354.038239	-0.646
356.603760	-0.637
359.187866	-0.631
361.790680	-0.627
364.412354	-0.626
367.053040	-0.626
369.712860	-0.630
372.391968	-0.634
375.090454	-0.640
377.808533	-0.648
380.546265	-0.655
383.303864	-0.662
386.081451	-0.668
388.879150	-0.672
391.697144	-0.674
394.535522	-0.674
397.394501	-0.670
400.274170	-0.662
403.174744	-0.653
406.096313	-0.639
409.039062	-0.622
412.003113	-0.605
414.988647	-0.585
417.995850	-0.567
421.024811	-0.546
424.075714	-0.525
427.148743	-0.507
430.244049	-0.488
433.361786	-0.473
436.502106	-0.457
439.665161	-0.445
442.851166	-0.432
446.060242	-0.420
449.292572	-0.408
452.548340	-0.394
455.827698	-0.379
459.130798	-0.362
462.457855	-0.341
465.809021	-0.319
469.184448	-0.294
472.584381	-0.266
476.008911	-0.235
479.458252	-0.203
482.932617	-0.168
486.432159	-0.132
489.957031	-0.097
493.507477	-0.063
497.083618	-0.031
500.685699	0.000
504.313873	0.028
507.968323	0.052
511.649292	0.073
515.356934	0.090
519.091370	0.103
522.852966	0.113
526.641724	0.121
530.458008	0.128
534.301941	0.132
538.173706	0.135
542.073547	0.138
546.001648	0.142
549.958191	0.147
553.943420	0.153
557.957520	0.162
562.000671	0.172
566.073181	0.185
570.175171	0.198
574.306885	0.216
578.468567	0.235
582.660400	0.254
586.882568	0.274
591.135376	0.292
595.419006	0.311
599.733643	0.328
604.079590	0.342
608.456970	0.355
612.866089	0.364
617.307190	0.372
621.780457	0.378
626.286133	0.380
630.824463	0.382
635.395691	0.382
640.000000	0.383
644.637695	0.382
649.309021	0.383
654.014160	0.386
658.753418	0.390
663.527039	0.396
668.335205	0.404
673.178284	0.415
678.056396	0.427
682.969849	0.440
687.918945	0.456
692.903870	0.472
697.924927	0.490
702.982422	0.507
708.076477	0.526
713.207520	0.545
718.375732	0.564
723.581360	0.585
728.824707	0.605
734.106079	0.626
739.425720	0.648
744.783936	0.671
750.180908	0.694
755.617065	0.716
761.092529	0.740
766.607727	0.764
772.162903	0.787
777.758301	0.808
783.394287	0.827
789.071045	0.843
794.789001	0.853
800.548340	0.859
806.349487	0.859
812.192627	0.853
818.078125	0.841
824.006226	0.822
829.977295	0.799
835.991699	0.769
842.049622	0.737
848.151428	0.702
854.297485	0.666
860.488098	0.631
866.723572	0.596
873.004211	0.566
879.330322	0.540
885.702332	0.518
892.120483	0.502
898.585144	0.490
905.096680	0.485
911.655396	0.483
918.261597	0.487
924.915710	0.494
931.618042	0.504
938.368896	0.517
945.168762	0.533
952.017822	0.552
958.916504	0.573
965.865234	0.594
972.864319	0.618
979.914062	0.643
987.014954	0.669
994.167236	0.695
1001.371399	0.722
1008.627747	0.748
1015.936646	0.773
1023.298584	0.798
1030.713867	0.822
1038.182739	0.847
1045.705933	0.871
1053.283447	0.895
1060.916016	0.921
1068.603882	0.947
1076.347412	0.975
1084.147095	1.005
1092.003296	1.038
1099.916382	1.074
1107.886841	1.110
1115.915039	1.149
1124.001343	1.188
1132.146362	1.228
1140.350342	1.268
1148.613770	1.307
1156.937134	1.346
1165.320801	1.382
1173.765137	1.418
1182.270752	1.452
1190.838013	1.484
1199.467285	1.516
1208.159180	1.546
1216.913940	1.576
1225.732178	1.606
1234.614380	1.636
1243.560913	1.667
1252.572266	1.697
1261.648926	1.729
1270.791382	1.761
1280.000000	1.795
1289.275391	1.829
1298.618042	1.865
1308.028320	1.902
1317.506836	1.940
1327.054077	1.980
1336.670410	2.020
1346.356567	2.063
1356.112793	2.107
1365.939697	2.154
1375.837891	2.204
1385.807739	2.255
1395.849854	2.311
1405.964844	2.370
1416.152954	2.434
1426.415039	2.501
1436.751465	2.573
1447.162720	2.651
1457.649414	2.733
1468.212158	2.821
1478.851440	2.913
1489.567871	3.012
1500.361816	3.115
1511.234131	3.221
1522.185059	3.333
1533.215454	3.448
1544.325806	3.566
1555.516602	3.687
1566.788574	3.810
1578.142090	3.936
1589.578003	4.062
1601.096680	4.190
1612.698975	4.319
1624.385254	4.448
1636.156250	4.579
1648.012451	4.708
1659.954590	4.839
1671.983398	4.969
1684.099243	5.100
1696.302856	5.230
1708.594971	5.360
1720.976196	5.489
1733.447144	5.616
1746.008423	5.743
1758.660645	5.867
1771.404663	5.990
1784.240967	6.111
1797.170288	6.229
1810.193359	6.345
1823.310791	6.457
1836.523193	6.567
1849.831421	6.675
1863.236084	6.778
1876.737793	6.879
1890.337524	6.977
1904.035645	7.074
1917.833008	7.168
1931.730469	7.263
1945.728638	7.356
1959.828125	7.449
1974.029907	7.544
1988.334473	7.639
2002.742798	7.736
2017.255493	7.836
2031.873291	7.937
2046.597168	8.041
2061.427734	8.146
2076.365479	8.254
2091.411865	8.363
2106.566895	8.472
2121.832031	8.581
2137.207764	8.689
2152.694824	8.796
2168.294189	8.900
2184.006592	9.002
2199.832764	9.101
2215.773682	9.196
2231.830078	9.288
2248.002686	9.376
2264.292725	9.462
2280.700684	9.545
2297.227539	9.624
2313.874268	9.702
2330.641602	9.778
2347.530273	9.854
2364.541504	9.927
2381.676025	10.002
2398.934570	10.075
2416.318359	10.147
2433.827881	10.219
2451.464355	10.289
2469.228760	10.358
2487.121826	10.424
2505.144531	10.486
2523.297852	10.544
2541.582764	10.597
2560.000000	10.644
2578.550781	10.684
2597.236084	10.719
2616.056641	10.746
2635.013672	10.765
2654.108154	10.779
2673.340820	10.786
2692.713135	10.788
2712.225586	10.785
2731.879395	10.776
2751.675781	10.764
2771.615479	10.747
2791.699707	10.727
2811.929688	10.704
2832.305908	10.679
2852.830078	10.650
2873.502930	10.618
2894.325439	10.584
2915.298828	10.547
2936.424316	10.509
2957.702881	10.469
2979.135742	10.427
3000.723633	10.385
3022.468262	10.342
3044.370117	10.299
3066.430908	10.256
3088.651611	10.215
3111.033203	10.174
3133.577148	10.133
3156.284180	10.093
3179.156006	10.052
3202.193359	10.011
3225.397949	9.970
3248.770508	9.928
3272.312500	9.885
3296.024902	9.839
3319.909180	9.792
3343.966797	9.744
3368.198486	9.695
3392.605713	9.645
3417.189941	9.593
3441.952393	9.541
3466.894287	9.489
3492.016846	9.436
3517.321289	9.383
3542.809326	9.328
3568.481934	9.273
3594.340576	9.215
3620.386719	9.156
3646.621582	9.093
3673.046387	9.029
3699.662842	8.962
3726.472168	8.890
3753.475586	8.817
3780.675049	8.741
3808.071289	8.663
3835.666016	8.583
3863.460938	8.503
3891.457275	8.422
3919.656250	8.340
3948.059814	8.260
3976.668945	8.178
4005.485596	8.097
4034.510986	8.016
4063.746582	7.934
4093.194336	7.851
4122.855469	7.766
4152.730957	7.680
4182.823730	7.592
4213.133789	7.500
4243.664062	7.407
4274.415527	7.309
4305.389648	7.210
4336.588379	7.109
4368.013184	7.006
4399.665527	6.902
4431.547363	6.797
4463.660156	6.692
4496.005371	6.587
4528.585449	6.485
4561.401367	6.385
4594.455078	6.286
4627.748535	6.191
4661.283203	6.099
4695.060547	6.011
4729.083008	5.926
4763.352051	5.846
4797.869141	5.768
4832.636719	5.693
4867.655762	5.620
4902.928711	5.548
4938.457520	5.479
4974.243652	5.410
5010.289062	5.341
5046.595703	5.274
5083.165527	5.205
5120.000000	5.137
5157.101562	5.067
5194.472168	4.998
5232.113281	4.929
5270.027344	4.858
5308.216309	4.787
5346.681641	4.714
5385.426270	4.642
5424.451172	4.569
5463.758789	4.495
5503.351562	4.422
5543.230957	4.347
5583.399414	4.273
5623.859375	4.198
5664.611816	4.126
5705.660156	4.054
5747.005859	3.982
5788.650879	3.912
5830.597656	3.844
5872.848633	3.777
5915.405762	3.713
5958.271484	3.649
6001.447266	3.588
6044.936523	3.527
6088.740234	3.467
6132.861816	3.407
6177.303223	3.347
6222.066406	3.287
6267.154297	3.224
6312.568359	3.159
6358.312012	3.091
6404.386719	3.020
6450.795898	2.944
6497.541016	2.864
6544.625000	2.781
6592.049805	2.692
6639.818359	2.600
6687.933594	2.504
6736.396973	2.407
6785.211426	2.309
6834.379883	2.210
6883.904785	2.115
6933.788574	2.023
6984.033691	1.939
