* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Oct 12, 2023 3:57:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Target RMS Average 1
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
223.030121	0.177
224.646286	0.167
226.274170	0.156
227.913849	0.144
229.565399	0.135
231.228928	0.145
232.904510	0.155
234.592224	0.145
236.292191	0.134
238.004456	0.137
239.729126	0.143
241.466309	0.141
243.216080	0.134
244.978516	0.125
246.753738	0.113
248.541809	0.105
250.342850	0.089
252.156937	0.053
253.984161	0.016
255.824646	-0.003
257.678467	-0.015
259.545685	-0.032
261.426483	-0.046
263.320862	-0.055
265.229004	-0.073
267.150970	-0.119
269.086853	-0.167
271.036774	-0.187
273.000824	-0.198
274.979095	-0.208
276.971710	-0.218
278.978760	-0.229
281.000336	-0.239
283.036591	-0.250
285.087585	-0.260
287.153442	-0.270
289.234283	-0.281
291.330200	-0.287
293.441284	-0.292
295.567688	-0.294
297.709503	-0.293
299.866821	-0.280
302.039795	-0.267
304.228485	-0.277
306.433044	-0.281
308.653595	-0.255
310.890228	-0.220
313.143066	-0.188
315.412231	-0.158
317.697845	-0.129
320.000000	-0.100
322.318848	-0.068
324.654510	-0.036
327.007080	-0.004
329.376709	0.028
331.763519	0.059
334.167603	0.089
336.589142	0.115
339.028198	0.141
341.484924	0.171
343.959473	0.193
346.451935	0.192
348.962463	0.192
351.491211	0.222
354.038239	0.256
356.603760	0.280
359.187866	0.301
361.790680	0.323
364.412354	0.345
367.053040	0.370
369.712860	0.390
372.391968	0.387
375.090454	0.381
377.808533	0.388
380.546265	0.401
383.303864	0.427
386.081451	0.448
388.879150	0.448
391.697144	0.443
394.535522	0.442
397.394501	0.447
400.274170	0.467
403.174744	0.484
406.096313	0.472
409.039062	0.463
412.003113	0.494
414.988647	0.524
417.995850	0.516
421.024811	0.503
424.075714	0.513
427.148743	0.525
430.244049	0.521
433.361786	0.518
436.502106	0.531
439.665161	0.545
442.851166	0.544
446.060242	0.542
449.292572	0.553
452.548340	0.560
455.827698	0.550
459.130798	0.539
462.457855	0.549
465.809021	0.559
469.184448	0.548
472.584381	0.538
476.008911	0.547
479.458252	0.557
482.932617	0.547
486.432159	0.536
489.957031	0.547
493.507477	0.556
497.083618	0.547
500.685699	0.535
504.313873	0.536
507.968323	0.538
511.649292	0.538
515.356934	0.535
519.091370	0.522
522.852966	0.514
526.641724	0.524
530.458008	0.534
534.301941	0.530
538.173706	0.524
542.073547	0.530
546.001648	0.539
549.958191	0.549
553.943420	0.555
557.957520	0.542
562.000671	0.535
566.073181	0.565
570.175171	0.597
574.306885	0.593
578.468567	0.587
582.660400	0.613
586.882568	0.638
591.135376	0.633
595.419006	0.628
599.733643	0.655
604.079590	0.686
608.456970	0.695
612.866089	0.701
617.307190	0.710
621.780457	0.723
626.286133	0.741
630.824463	0.761
635.395691	0.785
640.000000	0.803
644.637695	0.806
649.309021	0.806
654.014160	0.825
658.753418	0.845
663.527039	0.857
668.335205	0.867
673.178284	0.877
678.056396	0.885
682.969849	0.881
687.918945	0.881
692.903870	0.905
697.924927	0.930
702.982422	0.936
708.076477	0.939
713.207520	0.952
718.375732	0.967
723.581360	0.978
728.824707	0.989
734.106079	1.001
739.425720	1.008
744.783936	0.997
750.180908	0.987
755.617065	1.001
761.092529	1.018
766.607727	1.020
772.162903	1.022
777.758301	1.037
783.394287	1.055
789.071045	1.077
794.789001	1.094
800.548340	1.092
806.349487	1.088
812.192627	1.095
818.078125	1.107
824.006226	1.131
829.977295	1.151
835.991699	1.151
842.049622	1.148
848.151428	1.166
854.297485	1.189
860.488098	1.208
866.723572	1.230
873.004211	1.265
879.330322	1.292
885.702332	1.282
892.120483	1.271
898.585144	1.297
905.096680	1.333
911.655396	1.368
918.261597	1.394
924.915710	1.399
931.618042	1.401
938.368896	1.416
945.168762	1.436
952.017822	1.455
958.916504	1.472
965.865234	1.482
972.864319	1.488
979.914062	1.494
987.014954	1.504
994.167236	1.532
1001.371399	1.559
1008.627747	1.573
1015.936646	1.578
1023.298584	1.566
1030.713867	1.560
1038.182739	1.584
1045.705933	1.619
1053.283447	1.649
1060.916016	1.679
1068.603882	1.714
1076.347412	1.745
1084.147095	1.765
1092.003296	1.778
1099.916382	1.784
1107.886841	1.795
1115.915039	1.828
1124.001343	1.866
1132.146362	1.888
1140.350342	1.910
1148.613770	1.935
1156.937134	1.962
1165.320801	1.994
1173.765137	2.026
1182.270752	2.063
1190.838013	2.097
1199.467285	2.122
1208.159180	2.146
1216.913940	2.172
1225.732178	2.204
1234.614380	2.246
1243.560913	2.290
1252.572266	2.326
1261.648926	2.362
1270.791382	2.404
1280.000000	2.452
1289.275391	2.516
1298.618042	2.580
1308.028320	2.628
1317.506836	2.675
1327.054077	2.732
1336.670410	2.795
1346.356567	2.864
1356.112793	2.939
1365.939697	3.021
1375.837891	3.101
1385.807739	3.171
1395.849854	3.241
1405.964844	3.327
1416.152954	3.414
1426.415039	3.487
1436.751465	3.566
1447.162720	3.672
1457.649414	3.783
1468.212158	3.874
1478.851440	3.966
1489.567871	4.070
1500.361816	4.178
1511.234131	4.286
1522.185059	4.395
1533.215454	4.504
1544.325806	4.612
1555.516602	4.721
1566.788574	4.830
1578.142090	4.938
1589.578003	5.047
1601.096680	5.155
1612.698975	5.264
1624.385254	5.372
1636.156250	5.481
1648.012451	5.589
1659.954590	5.702
1671.983398	5.830
1684.099243	5.958
1696.302856	6.077
1708.594971	6.189
1720.976196	6.292
1733.447144	6.393
1746.008423	6.498
1758.660645	6.602
1771.404663	6.692
1784.240967	6.782
1797.170288	6.889
1810.193359	6.996
1823.310791	7.090
1836.523193	7.179
1849.831421	7.269
1863.236084	7.359
1876.737793	7.446
1890.337524	7.538
1904.035645	7.645
1917.833008	7.748
1931.730469	7.818
1945.728638	7.883
1959.828125	7.973
1974.029907	8.060
1988.334473	8.123
2002.742798	8.179
2017.255493	8.245
2031.873291	8.315
2046.597168	8.390
2061.427734	8.471
2076.365479	8.553
2091.411865	8.635
2106.566895	8.711
2121.832031	8.781
2137.207764	8.849
2152.694824	8.914
2168.294189	8.985
2184.006592	9.054
2199.832764	9.115
2215.773682	9.175
2231.830078	9.242
2248.002686	9.310
2264.292725	9.370
2280.700684	9.431
2297.227539	9.500
2313.874268	9.570
2330.641602	9.641
2347.530273	9.710
2364.541504	9.782
2381.676025	9.849
2398.934570	9.900
2416.318359	9.956
2433.827881	10.041
2451.464355	10.131
2469.228760	10.201
2487.121826	10.270
2505.144531	10.350
2523.297852	10.432
2541.582764	10.513
2560.000000	10.592
2578.550781	10.664
2597.236084	10.734
2616.056641	10.808
2635.013672	10.881
2654.108154	10.945
2673.340820	11.015
2692.713135	11.106
2712.225586	11.203
2731.879395	11.293
2751.675781	11.372
2771.615479	11.431
2791.699707	11.482
2811.929688	11.546
2832.305908	11.604
2852.830078	11.635
2873.502930	11.668
2894.325439	11.733
2915.298828	11.801
2936.424316	11.841
2957.702881	11.873
2979.135742	11.905
3000.723633	11.935
3022.468262	11.971
3044.370117	11.997
3066.430908	11.987
3088.651611	11.976
3111.033203	12.007
3133.577148	12.038
3156.284180	12.033
3179.156006	12.018
3202.193359	12.007
3225.397949	11.997
3248.770508	11.989
3272.312500	11.976
3296.024902	11.943
3319.909180	11.909
3343.966797	11.899
3368.198486	11.888
3392.605713	11.858
3417.189941	11.823
3441.952393	11.792
3466.894287	11.763
3492.016846	11.731
3517.321289	11.699
3542.809326	11.669
3568.481934	11.633
3594.340576	11.584
3620.386719	11.530
3646.621582	11.479
3673.046387	11.430
3699.662842	11.392
3726.472168	11.349
3753.475586	11.282
3780.675049	11.215
3808.071289	11.160
3835.666016	11.111
3863.460938	11.060
3891.457275	11.008
3919.656250	10.958
3948.059814	10.904
3976.668945	10.838
4005.485596	10.773
4034.510986	10.722
4063.746582	10.674
4093.194336	10.625
4122.855469	10.575
4152.730957	10.518
4182.823730	10.462
4213.133789	10.414
4243.664062	10.368
4274.415527	10.326
4305.389648	10.274
4336.588379	10.186
4368.013184	10.097
4399.665527	10.046
4431.547363	10.004
4463.660156	9.952
4496.005371	9.900
4528.585449	9.851
4561.401367	9.801
4594.455078	9.744
4627.748535	9.684
4661.283203	9.624
4695.060547	9.562
4729.083008	9.498
4763.352051	9.433
4797.869141	9.377
4832.636719	9.316
4867.655762	9.231
4902.928711	9.144
4938.457520	9.070
4974.243652	9.000
5010.289062	8.930
5046.595703	8.855
5083.165527	8.767
5120.000000	8.680
5157.101562	8.610
5194.472168	8.540
5232.113281	8.450
5270.027344	8.359
5308.216309	8.281
5346.681641	8.204
5385.426270	8.117
5424.451172	8.027
5463.758789	7.945
5503.351562	7.856
5543.230957	7.745
5583.399414	7.632
5623.859375	7.542
5664.611816	7.456
5705.660156	7.369
5747.005859	7.280
5788.650879	7.184
5830.597656	7.088
5872.848633	6.996
5915.405762	6.906
5958.271484	6.818
6001.447266	6.725
6044.936523	6.621
6088.740234	6.514
6132.861816	6.412
6177.303223	6.314
6222.066406	6.230
6267.154297	6.138
6312.568359	6.013
6358.312012	5.880
6404.386719	5.753
6450.795898	5.639
6497.541016	5.551
6544.625000	5.469
6592.049805	5.377
6639.818359	5.281
6687.933594	5.186
6736.396973	5.088
6785.211426	4.989
6834.379883	4.892
6883.904785	4.796
6933.788574	4.703
6984.033691	4.614
7034.642578	4.523
7085.618652	4.424
7136.963867	4.322
7188.681152	4.227
7240.773438	4.134
7293.243164	4.044
7346.092773	3.956
7399.325684	3.876
7452.944336	3.799
7506.951172	3.710
