* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 9, 2023 10:57:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = EQ RMS Average 1 B = Delta 10dB
* Measurement: A times B
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
2060.000000	3.980
2090.000000	4.181
2120.000000	4.388
2140.000000	4.527
2180.000000	4.809
2200.000000	4.950
2240.000000	5.230
2270.000000	5.436
2300.000000	5.638
2330.000000	5.835
2360.000000	6.026
2400.000000	6.272
2430.000000	6.449
2470.000000	6.674
2500.000000	6.835
2540.000000	7.042
2580.000000	7.238
2620.000000	7.424
2650.000000	7.557
2690.000000	7.725
2720.000000	7.842
2760.000000	7.985
2800.000000	8.113
2850.000000	8.249
2900.000000	8.359
2950.000000	8.442
3000.000000	8.500
3040.000000	8.529
3070.000000	8.541
3110.000000	8.545
3150.000000	8.536
3200.000000	8.507
3250.000000	8.460
3300.000000	8.396
3350.000000	8.318
3400.000000	8.226
3450.000000	8.122
3500.000000	8.010
3550.000000	7.891
3600.000000	7.765
3650.000000	7.634
3700.000000	7.499
3750.000000	7.359
3820.000000	7.159
3870.000000	7.015
3950.000000	6.784
4000.000000	6.642
4060.000000	6.475
4120.000000	6.313
4180.000000	6.159
4250.000000	5.992
4310.000000	5.861
4370.000000	5.742
4440.000000	5.620
4500.000000	5.529
4550.000000	5.463
4620.000000	5.382
4680.000000	5.321
4750.000000	5.255
4820.000000	5.191
4870.000000	5.143
4940.000000	5.071
5000.000000	5.002
5080.000000	4.899
5150.000000	4.800
5220.000000	4.694
5300.000000	4.565
5380.000000	4.432
5450.000000	4.314
5520.000000	4.196
5600.000000	4.065
5700.000000	3.907
5800.000000	3.760
5900.000000	3.626
6000.000000	3.507
6080.000000	3.425
6150.000000	3.362
6220.000000	3.309
6300.000000	3.259
6400.000000	3.213
6500.000000	3.185
6600.000000	3.173
6700.000000	3.177
6800.000000	3.194
6900.000000	3.221
7000.000000	3.255
7100.000000	3.292
7200.000000	3.329
7300.000000	3.361
7400.000000	3.384
7500.000000	3.396
7620.000000	3.389
7750.000000	3.350
7880.000000	3.273
8000.000000	3.165
8120.000000	3.020
8250.000000	2.818
8380.000000	2.571
8500.000000	2.306
8620.000000	2.007
8750.000000	1.650
8850.000000	1.359
9000.000000	0.906
9120.000000	0.542
9250.000000	0.160
9380.000000	-0.195
9500.000000	-0.486
9620.000000	-0.736
9750.000000	-0.952
9880.000000	-1.112
10000.000000	-1.206
10150.000000	-1.248
10300.000000	-1.205
10440.000000	-1.104
10600.000000	-0.969
10750.000000	-0.901
10900.000000	-0.951
11060.000000	-1.151
11200.000000	-1.429
11380.000000	-1.875
11500.000000	-2.192
11720.000000	-2.780
11800.000000	-2.984
12060.000000	-3.551
12200.000000	-3.760
12410.000000	-3.918
12500.000000	-3.941
12650.000000	-3.934
12800.000000	-3.886
13150.000000	-3.652
13200.000000	-3.606
13400.000000	-3.402
13600.000000	-3.195
13800.000000	-3.032
14000.000000	-2.956
14300.000000	-3.034
14500.000000	-3.209
14750.000000	-3.541
15000.000000	-3.955
15250.000000	-4.409
15500.000000	-4.867
15750.000000	-5.306
16000.000000	-5.718
16250.000000	-6.102
16500.000000	-6.464
16750.000000	-6.806
17000.000000	-7.126
17250.000000	-7.417
17500.000000	-7.668
17750.000000	-7.863
18000.000000	-7.978
18250.000000	-7.977
18500.000000	-7.813
18750.000000	-7.464
19000.000000	-7.058
19250.000000	-7.045
19500.000000	-8.064
19750.000000	-10.413
20000.000000	-14.175
